File,Run_ID,Max_Dose,Min_Dose,DUR (Max/Min),Total_Energy_Sum
Output_Run_0.root,0,0.24019,0.0005,484.44,0.4816
Output_Run_1.root,1,0.07458,0.0,126611.201,13.2002
